colorfulness,sharpness,total_clip,saturation,noise,contrast,color_temp,ranking
77.1385,3.6967,1.3261,81.0019,0.4219,36.9998,6355.7658,0.0146
30.4675,8.0349,1.1716,87.5544,0.9305,75.4544,4578.5216,0.0258
12.5865,5.6579,1.0022,24.3891,0.4363,56.2797,6360.8362,0.0150
30.0850,4.3769,14.3898,77.1442,0.4197,78.8166,3726.4273,0.0335
91.4718,7.3610,4.1016,136.6928,0.9922,54.7181,2823.2928,0.0184
68.9643,4.9439,1.0991,139.2054,0.5620,53.5007,8131.3363,0.0203
34.4711,4.9628,1.1774,39.6357,0.0000,34.2533,5843.2653,0.0164
13.3632,8.0048,1.0506,49.3397,0.2758,78.7203,7980.0800,0.0094
20.0598,9.5008,1.1039,61.2552,0.5372,90.5375,8498.0757,0.0070
17.4920,9.7590,1.0353,86.3018,0.6073,86.3090,6030.0762,0.0069
49.3518,9.2199,1.0409,112.9888,0.8875,54.2385,3063.5597,0.0182
82.4337,6.4943,30.7987,79.8351,0.2471,87.7083,3676.5280,0.0067
34.4806,3.6520,1.0067,104.0344,0.3828,53.1948,3991.3724,0.0160
43.4572,3.6075,1.0020,64.0903,0.4468,53.6111,5592.7073,0.0172
29.1221,8.3094,1.6316,54.8469,0.3910,89.2896,6461.3469,0.0156
99.5691,2.2941,2.6462,112.0428,0.1131,79.3342,8341.2741,0.0095
67.2351,12.4038,2.4219,96.4137,1.4180,56.8274,9051.4715,0.0112
25.6546,12.1561,1.3025,65.9373,1.3916,63.6138,5400.1254,0.0181
64.2793,6.9335,1.4665,140.8466,0.5990,66.3902,2486.6486,0.0114
28.4363,14.9735,1.0392,51.7492,2.2756,60.4434,5016.2476,0.0222
18.8033,9.7540,1.0026,37.8310,1.3318,51.9697,5448.4645,0.0145
17.6542,5.8555,20.1025,50.8070,0.2532,95.0326,5239.8695,0.0159
82.0209,13.8055,2.7765,101.8635,2.9173,59.0726,5412.1288,0.0253
38.3661,7.5413,3.4747,89.4649,0.7474,72.9980,3957.7348,0.0182
26.5185,4.8822,1.9771,89.5948,0.5146,77.7314,3829.0353,0.0148
27.7725,4.5185,1.4514,31.0124,0.3293,56.5138,6013.5049,0.0142
32.8043,11.0078,13.9718,75.2622,0.9735,77.7846,4840.7160,0.0140
27.4986,6.8134,10.0990,47.7848,0.4312,74.0492,6134.4891,0.0165
150.2042,2.7214,1.9106,174.2020,0.0678,49.3690,9707.3639,0.0049
101.3930,2.5291,1.2389,186.7687,0.2162,40.1473,3398.8000,0.0122
30.4509,13.7268,1.2679,77.3611,1.7569,68.1046,4786.8318,0.0097
64.9695,7.1271,1.5013,129.0538,0.5990,60.9228,3666.1987,0.0086
86.3138,8.6630,33.3818,86.6431,0.5560,78.4706,3116.4306,0.0098
75.8589,6.4374,1.5058,68.2276,0.3971,65.6722,6559.2119,0.0143
74.5326,3.6268,1.2499,49.1406,0.0143,52.1589,6079.2910,0.0188
25.0077,6.3782,1.0736,76.0065,0.5808,51.6945,4770.7803,0.0115
30.3299,9.2637,20.6394,48.2515,1.1063,82.5380,6532.9425,0.0178
78.6701,10.1644,1.5484,126.1894,0.9531,60.5758,3531.0273,0.0156
21.4515,7.1328,25.5505,50.5290,0.7203,85.5100,5530.4670,0.0167
12.8557,4.2170,1.2057,106.2487,0.0618,54.6820,10976.6354,0.0165
40.2896,7.6662,1.1191,87.5995,0.4219,68.8998,6096.8103,0.0130
100.4652,16.5502,3.6909,131.9929,1.5228,83.2549,323.0887,0.0140
19.5787,6.0504,1.4790,55.3477,0.3529,96.7725,6193.4996,0.0085
21.0858,8.0179,1.4680,33.6069,0.6525,48.5205,6904.5131,0.0030
28.2448,2.1618,1.0763,21.0911,0.0000,50.1779,6499.8782,0.0078
79.9788,7.0699,1.4523,99.9825,0.4324,67.9503,7853.6382,0.0075
29.0049,2.7522,1.0385,75.5581,0.4137,66.9793,11461.5312,0.0144
37.6837,5.4986,1.3327,81.5136,0.3089,75.6005,6006.1038,0.0221
11.2133,2.5031,82.6599,5.4276,0.0000,24.8427,6658.4881,0.0198
9.5628,2.1728,85.2117,3.9976,0.0000,21.8428,6324.2821,0.0158
21.0406,5.0124,1.0702,28.5189,0.4302,83.8282,5905.2111,0.0208
0.0000,4.1268,7.3709,0.0000,0.2532,78.1628,6499.8782,0.0097
38.1214,4.2845,1.1170,61.5964,0.1997,79.5518,9072.5639,0.0075
56.0658,7.5313,1.2930,99.6880,0.5560,56.1551,4231.4307,0.0108
49.3751,17.7181,1.7354,92.8258,2.7515,71.2057,6174.5363,0.0082
21.1041,5.1304,26.2518,66.1279,0.3850,88.1076,4087.8237,0.0131
